127.0.0.1 - - [31/Aug/2022:10:10:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:10:23 +0900] "GET /day02/form.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:10:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:10:26 +0900] "GET /day02/form.html?userId=dafaf HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:11:37 +0900] "GET /day02/form.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:11:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:13:15 +0900] "GET /day02/form.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:13:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:14:47 +0900] "GET /day02/form.html HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:14:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:15:34 +0900] "GET /day02/form.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:15:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:18:57 +0900] "GET /day02/form.html HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:18:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:24:54 +0900] "GET /day02/form.html HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:24:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:29:06 +0900] "GET /day02/form.html HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:29:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
